COMMON_NAME,SCIENTIFIC_NAME,obs
Sharp-tailed Grouse x Greater Prairie-Chicken,Tympanuchus phasianellus x cupido,18
Blue-winged x Prairie Warbler (hybrid),Vermivora cyanoptera x Setophaga discolor,19
Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus,20
Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,21
Eurasian Collared-Dove x Mourning Dove (hybri,Streptopelia decaocto x Zenaida macroura,22
Neotropic x Double-crested Cormorant (hybrid),Phalacrocorax brasilianus x auritus,23
Tropical x Gray Kingbird (hybrid),Tyrannus melancholicus x dominicensis,24
Gadwall x American Wigeon (hybrid),Mareca strepera x americana,30
Barn x Cliff Swallow (hybrid),Hirundo rustica x Petrochelidon pyrrhonota,32
Black x Eastern Phoebe (hybrid),Sayornis nigricans x phoebe,32
Gadwall x Green-winged Teal (hybrid),Mareca strepera x Anas crecca,32
Black-headed x Ring-billed Gull (hybrid),Chroicocephalus ridibundus x Larus delawarens,34
Snowy Egret x Little Blue Heron (hybrid),Egretta thula x caerulea,35
Yellow x Prairie Warbler (hybrid),Setophaga petechia x discolor,36
Western x Flame-colored Tanager (hybrid),Piranga ludoviciana x bidentata,37
Glaucous x Great Black-backed Gull (hybrid),Larus hyperboreus x marinus,39
Tufted Duck x scaup sp. (hybrid),Aythya fuligula x marila/affinis,39
Blue-winged x Green-winged Teal (hybrid),Spatula discors x Anas crecca,40
Anna's x Allen's Hummingbird (hybrid),Calypte anna x Selasphorus sasin,45
Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,48
Dunlin x White-rumped Sandpiper (hybrid),Calidris alpina x fuscicollis,50
Laughing x Ring-billed Gull (hybrid),Leucophaeus atricilla x Larus delawarensis,50
Varied x Painted Bunting (hybrid),Passerina versicolor x ciris,51
Cinnamon x Green-winged Teal (hybrid),Spatula cyanoptera x Anas crecca,52
goldeneye sp. x Hooded Merganser (hybrid),Bucephala clangula/islandica x Lophodytes cuc,54
Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus,56
Tropical x Northern Mockingbird (hybrid),Mimus gilvus x polyglottos,58
Northern x Tropical Parula (hybrid),Setophaga americana x pitiayumi,59
Great Blue Heron x Great Egret (hybrid),Ardea herodias x alba,63
Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,66
Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,71
