COMMON_NAME,N
Lawrence's Goldfinch,32899
Lawrence's Warbler (hybrid),976
Laysan Albatross,7802
Laysan Duck,4
Laysan x Black-footed Albatross (hybrid),1
Lazuli Bunting,178022
Lazuli x Indigo Bunting (hybrid),697
Leach's Storm-Petrel,21124
Leach's/Townsend's Storm-Petrel (dark-rumped),176
Leach's/Townsend's Storm-Petrel (white-rumped,58
Least Auklet,5406
Least Bittern,71691
Least Flycatcher,239121
Least Grebe,36942
Least Sandpiper,778895
Least Storm-Petrel,1549
Least Tern,211652
LeConte's Sparrow,18650
LeConte's Thrasher,6678
Lemon Dove,2
Lesser Black-backed Gull,123707
Lesser Flamingo,219
Lesser Goldfinch,1080672
Lesser Nighthawk,30868
Lesser Sand-Plover,919
Lesser Scaup,693586
Lesser Whistling-Duck,1
Lesser White-fronted Goose,12
Lesser x American Goldfinch (hybrid),1
Lesser Yellowlegs,513005
Lewis's Woodpecker,46359
Lilac-breasted Roller,1
Lilac-crowned Parrot,3513
Lilian's Lovebird,1
Limpkin,94581
Lincoln's Sparrow,505697
Little Blue Heron,575022
Little Blue x Tricolored Heron (hybrid),975
Little Bunting,247
Little Egret,1419
Little Egret x Western Reef-Heron (hybrid),1
Little Gull,8547
Little Pied Cormorant,1
Little Stint,872
Little x Snowy Egret (hybrid),2
Loggerhead Kingbird,67
Loggerhead Shrike,531909
Long-billed Curlew,172380
Long-billed Dowitcher,246426
Long-billed Murrelet,15
Long-billed Thrasher,63936
Long-eared Owl,19486
Long-legged Buzzard,4
Long-tailed Duck,201970
Long-tailed Jaeger,19907
Long-tailed Mockingbird,17
Long-tailed Starling,1
Long-toed Stint,187
Louisiana Waterthrush,173228
Lucifer Hummingbird,5666
Lucifer x Anna's Hummingbird (hybrid),1
Lucifer x Costa's Hummingbird (hybrid),171
Lucy's Warbler,66877
MacGillivray's Warbler,111580
MacGillivray's Warbler x Common Yellowthroat ,2
Madagascar Ibis,1
Magnificent Frigatebird,53860
Magnolia Warbler,408332
